Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
PRI0003: School Choice and Information: Evidence from Urban Lima (Peru),Princeton University,Grant Award,,,,12/14/2015,1,1,,,,6/21/2016
Maternal Health App for Public Health Strengthening,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
WBK7876 Impact Evaluation on SME Investment & Gender in Ghana Listing Survey & Baseline Data Collection,World Bank,Grant Award,,,,11/5/2015,1,1,,,,1/12/2016
Social Incentives for Immunization,Global Innovation Fund,Grant Proposal,,,,5/26/2016,0,1,,,,5/26/2016
WBK1225 World Bank PO 7171225_sierra L,World Bank,Grant Award,,,,1/16/2014,1,1,,,,5/6/2014
WBK5425 Pay for performance among primary school teachers (Won),World Bank,Grant Award,,,,6/1/2014,1,1,,,,6/12/2015
3IE0034: 3ie DOLE Policy Window - Proposal preparation Philippines,International Initiative for Impact Evaluation (3ie),Grant Award,,,,11/17/2014,1,1,,,,12/12/2014
DBE-21-10001 Ethiopia RUFIP PPI,Development Bank of Ethiopia,Grant Proposal,,,,9/13/2021,0,1,,,,9/13/2021
OI-21-10001 PPI Uganda,Opportunity International (OI),Grant Proposal,,,,9/13/2021,0,1,,,,9/16/2021
UNI0003 Revitalizing Demand for Immunizations Post-Ebola: The Potential of Social Incentives (Sierra Leone),United Nations Children's Fund (UNICEF),Grant Award,,,,6/1/2016,1,1,,,,6/16/2016
GCC-Savings for Mothers,Grand Challenges Canada,Grant Proposal,,,,9/24/2018,0,1,,,,9/26/2018
School Fee Loan Intervention,Spencer Foundation,Grant Proposal,,,,11/1/2018,0,1,,,,11/1/2018
MERCY-21-10002: Mercy Corps Master Services Agreement 2020-2022 (Global),Mercy Corps Headquarters,Grant Award,,,,7/24/2020,1,1,,,,8/31/2021
Child Labor Research Initiative,United States Department of Labor,Grant Proposal,,,,8/16/2021,0,1,,,,8/16/2021
Leveraging Mid-level Supervisors to Improve Public-Sector Service Delivery,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/15/2017,0,1,,,,9/8/2017
Google AI for Social Good Proposal for Women?s Empowerment through Digital Credit with Separate Credit Scoring  Models,Google,Grant Proposal,,,,1/22/2019,0,1,,,,1/22/2019
BRACI-20-10002 BRAC International - PPI Alliance,BRAC International,Grant Award,,,,10/1/2018,1,1,,,,6/17/2020
IPV_Raising the Villages Uganda,University of Washington,Grant Award,,,,8/5/2022,1,1,,,,8/5/2022
2018 Horace Goldsmith Foundation Unrestricted Grant,Horace W. Goldsmith Foundation,Grant Award,,,,5/18/2018,1,1,,,,5/18/2018
Ghana MSME Investment and Gender - Implementation of lab in the field game & training.,World Bank,Grant Proposal,,,,5/25/2017,0,1,,,,4/27/2017
Advancing Women?s Economic Power Through Childcare Quality,Gates Foundation,Grant Proposal,,,,12/6/2023,0,1,,,,12/6/2023
EDU0001 - Endline RCT on Longterm Outcomes of Educate! Experience Program (Uganda),Educate!,Grant Award,,,,8/8/2016,1,1,,,,10/21/2016
Proposal for Endline RCT on long term outcomes (sub contract),Educate!,Grant Proposal,,,,10/7/2016,0,1,,,,10/21/2016
ADB Proposal for Land Reform,Asian Development Bank (ADB),Grant Proposal,,,,12/14/2014,0,1,,,,12/14/2014
GOA0003 ACT Health Endline Phase Award Uganda (Year 3),GOAL Relief and Development Organization,Grant Award,,,,6/1/2016,1,1,,,,9/8/2016
Evaluacion experimental del uso de plataformas de IA,Inter-American Development Bank (IDB),Grant Proposal,,,,9/11/2025,0,1,,,,9/11/2025
Leveraging Social Connections: Can existing programmatic information aide targeting of new programs?,International Growth Centre (IGC),Grant Proposal,,,,6/19/2015,0,1,,,,6/21/2015
Roots of Impact RFE support,Roots of Impact,Grant Proposal,,,,4/20/2021,0,1,,,,4/20/2021
NI Learning Narratives RFE support,Nutrition International,Grant Proposal,,,,6/29/2021,0,1,,,,6/29/2021
IGC Proposal for Enterprise and Employment Growth: Microfinance and Trainings in Tanzania,International Growth Centre (IGC),Grant Proposal,,,,7/18/2014,0,1,,,,7/18/2014
WZB_Developing Kampala's citizen charter_Part 2,WZB Berlin Social Science Center,Grant Proposal,,,,8/30/2019,0,1,,,,8/30/2019
DSTI Education Innovation Challenge,Government of Sierra Leone,Grant Proposal,,,,8/14/2019,0,1,,,,8/14/2019
Social Incentives for Antenatal Care Attendance,United States Agency for International Development (USAID),Grant Proposal,,,,4/17/2016,0,1,,,,4/17/2016
Measuring Financial Health - UNCDF,United Nations Capital Development Fund (UNCDF),Grant Proposal,,,,3/11/2022,0,1,,,,3/11/2022
BMG IDEO.org women's access to government payments,IDEO.org,Grant Proposal,,,,4/27/2018,0,1,,,,4/27/2018
P&R Initiative,Population Council,Grant Proposal,,,,4/1/2019,0,1,,,,4/1/2019
Protecting Agricultural and Household Livelihoods through Agricultural Index Insurance in Burkina Faso (sub-grant),Freedom from Hunger,Grant Proposal,,,,7/14/2015,0,1,,,,7/14/2015
HDIF Round 2 Proposal for Kiufunza II,Human Development Innovation Fund,Grant Proposal,,,,8/13/2015,0,1,,,,8/13/2015
ALIGN Flexible Research Fund - Women Financial Inclusion Dissemination,ODI (formerly Overseas Development Institute),Grant Proposal,,,,1/15/2018,0,1,,,,1/15/2018
EDI Round 2: Proposal Activating Village Courts (Bangladesh),Center for Effective Global Action (CEGA),Grant Proposal,,,,11/15/2017,0,1,,,,11/15/2017
WBK6612 Data Entry for Impact Evaluation Study Citizens at the Council,World Bank,Grant Award,,,,8/14/2015,1,1,,,,9/15/2015
Contraceptives use - Add-on funding,Brown University,Grant Proposal,,,,3/14/2019,0,1,,,,4/10/2019
EDI_CEGA_Village_Court_BD,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
Evidence Partner for WEE Financing Facility,Gates Foundation,Grant Proposal,,,,9/17/2025,0,1,,,,9/17/2025
Templeton Foundation Small Grant Proposal,John Templeton Foundation,Grant Proposal,,,,8/31/2018,0,1,,,,8/31/2018
General Request for Proposals,J-PAL North America,Grant Proposal,,,,3/16/2018,0,1,,,,3/16/2018
Communicating Rigorous Research to Inform Policy,United Kingdom Department for International Development (DFID),Grant Proposal,,,,6/29/2015,0,1,,,,6/29/2015
SVRI: Variations of the Ultra-Poor Graduation Program (Uganda),Sexual Violence Research Initiative,Grant Proposal,,,,10/6/2017,0,1,,,,10/6/2017
KIX: Strengthening Education Systems,Plan International Australia,Grant Proposal,,,,10/1/2019,0,1,,,,10/1/2019
EDI: Gangs of Medellin: A proposal to map order and violence at the micro level,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
EDIProposal for Urban Property Formalization,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
UCB0010 UCD/DIL Cellphone Base Station (Philippines),"University of California, Berkeley",Grant Award,,,,2/21/2016,1,1,,,,8/22/2016
Estimating the Impact and Cost-Effectiveness of Expanding Secondary Education in Ghana,Economic and Social Research Council (ESRC),Grant Proposal,,,,1/22/2015,0,1,,,,7/28/2015
Women Empowerment and Child Health in Developing Countries (Ghana) (subgrant),National Bureau of Economic Research (NBER),Grant Proposal,,,,11/4/2015,0,1,,,,11/6/2015
SPES GPI,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,12/31/2015,0,1,,,,12/31/2015
Sexual Violence Research Initiative,Sexual Violence Research Initiative,Grant Proposal,,,,7/9/2024,0,1,,,,7/9/2024
Spencer SMC Uganda,Spencer Foundation,Grant Proposal,,,,1/31/2020,0,1,,,,1/31/2020
Contraceptives Use - PPE,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,4/14/2019,0,1,,,,4/14/2019
Exploring the Intergenerational Impacts of Encouraging Youth Entrepreneurship in Kenya,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,10/9/2016,0,1,,,,10/9/2016
ELA in School Settings for Scale,BRAC USA,Grant Proposal,,,,8/25/2023,0,1,,,,8/31/2023
COU6927 Elite Capture,Columbia University,Grant Award,,,,10/14/2015,1,1,,,,4/12/2016
JPAL PPE for Educate!,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/4/2014,0,1,,,,11/14/2014
IGC for Educate!,International Growth Centre (IGC),Grant Proposal,,,,12/3/2014,0,1,,,,3/16/2015
ILO-YEN Fund for Evaluation,International Labour Organization,Grant Proposal,,,,3/7/2014,0,1,,,,11/14/2014
WBK7539: Pay for performance among primary school teachers (Part 3) (Won),World Bank,Grant Award,,,,11/23/2015,1,1,,,,12/15/2015
IVR: Pilot Research Encouraging Politician Responsiveness in Kenya?,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/16/2018,0,1,,,,3/16/2018
WEL5373 Baseline Survey Add-on Grant No. 5373,Wellspring Philanthropic Fund,Grant Award,,,,2/2/2015,1,1,,,,5/18/2015
New Proposal for Impact Evaluation of Prosoli,International Initiative for Impact Evaluation (3ie),Grant Proposal,,,,1/18/2016,0,1,,,,1/17/2016
MIT3887 - PPE for Kenya Life Panel Survey (Won),Massachusetts Institute of Technology (MIT),Grant Award,,,,9/3/2014,1,1,,,,10/19/2015
Research for Health in Humanitarian Crises,Enhancing Learning and Research for Humanitarian Assistance,Grant Proposal,,,,11/20/2018,0,1,,,,11/20/2018
Post-Ebola Cash Transfer Program,Enhancing Learning and Research for Humanitarian Assistance,Grant Proposal,,,,5/14/2015,0,1,,,,5/14/2015
Government Partnership Initiative Grant,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,12/31/2015,0,1,,,,12/31/2015
Impact assessment of the export growth fund,International Growth Centre (IGC),Grant Award,,,,6/21/2023,1,1,,,,10/10/2023
ATAI 2019 February - Endline,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,3/26/2019,0,1,,,,2/19/2019
Exploratory proposal to ProgettoMondo Mlal,ProgettoMondo.Mlal,Grant Proposal,,,,3/25/2019,0,1,,,,3/25/2019
GOA0002 ACT Health Midline Phase Award Uganda (Year 2),GOAL Relief and Development Organization,Grant Award,,,,4/1/2015,1,1,,,,7/23/2015
Nesta-Kauffman Fdn Proposal for Interfirm Relationships and Business Performance,Ewing Marion Kauffman Foundation,Grant Proposal,,,,2/24/2014,0,1,,,,2/24/2014
MIT4168 PO 5710004168 (Kenya),Massachusetts Institute of Technology (MIT),Grant Award,,,,12/2/2015,1,1,,,,4/11/2017
ALIGN Flexible Research Fund - Module on Autonomy and Control over Financial Decisions,ODI (formerly Overseas Development Institute),Grant Proposal,,,,1/15/2018,0,1,,,,1/15/2018
PSAs proposal to Columbia,Columbia University,Grant Proposal,,,,8/28/2014,0,1,,,,10/24/2014
Scaling Targeted Instruction in Ghana: Improving Teacher Accountability and Support,Global Innovation Fund,Grant Proposal,,,,5/6/2015,0,1,,,,5/6/2015
Cycling to School: WBR Endline Funding,World Bicycle Relief,Grant Proposal,,,,7/27/2018,0,1,,,,7/27/2018
LTA for Evaluations,United Nations Children's Fund (UNICEF),Grant Proposal,,,,5/27/2021,0,1,,,,5/28/2021
WELLSPRING MIDLINE SURVEYS FOR THE IMPACT EVALUATION OF: BOOSTING (SELF-) EMPLOYMENT FOR YOUTH IN COTE DIVOIRE,Wellspring Philanthropic Fund,Grant Proposal,,,,9/7/2022,0,1,,,,9/30/2022
EDI Round 2: Cash transfers and mental models proposal (Kenya),Oxford University,Grant Proposal,,,,11/15/2017,0,1,,,,11/15/2017
Social Incentives for Immunization,The Berkeley Center on the Economics and Demography of Aging,Grant Proposal,,,,10/30/2016,0,1,,,,10/30/2016
Incentives for Immunization in Sierra Leone,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/30/2015,0,1,,,,9/30/2015
BRN0004 Brown University,Brown University,Grant Award,,,,4/17/2015,1,1,,,,4/17/2015
EDI Round 2: Proposal for Distributive Politics of Bureaucracy (Colombia),Center for Effective Global Action (CEGA),Grant Proposal,,,,11/15/2017,0,1,,,,11/15/2017
IGC Flex Funding:Teacher Transfers,International Growth Centre (IGC),Grant Proposal,,,,3/31/2017,0,1,,,,3/31/2017
Process Evaluation of VR-based livelihood modules,World Vision Rwanda,Grant Proposal,,,,2/18/2022,0,1,,,,2/18/2022
Political Impacts of First-Time Mobile Phone Access in Isolated Communities,International Growth Centre (IGC),Grant Proposal,,,,1/17/2016,0,1,,,,1/17/2016
EDI Round 2: Improving Service Delivery Through Better Management (Ghana),Center for Effective Global Action (CEGA),Grant Proposal,,,,11/15/2017,0,1,,,,11/8/2017
Vodafone Funding for Cellphone Base Study,Vodafone Americas Foundation,Grant Proposal,,,,3/6/2017,0,1,,,,3/13/2017
CGAP Technical Policy Proposal,Consultative Group to Assist the Poor (CGAP),Grant Proposal,,,,12/28/2017,0,1,,,,1/1/2019
IGL Proposal: Business Coaching and Firm Growth in Emerging Economies (Kenya) (Ghana),Nesta,Grant Proposal,,,,1/29/2019,0,1,,,,1/29/2019
ESRC-DFID Education and Development,Economic and Social Research Council (ESRC),Grant Proposal,,,,3/24/2014,0,1,,,,3/24/2014
PPE Round 9:Teacher Transfers (Uganda),Massachusetts Institute of Technology (MIT),Grant Proposal,,,,12/8/2017,0,1,,,,12/8/2017
IDRC Stress study pre-proposal,International Development Research Centre (IDRC),Grant Proposal,,,,1/19/2015,0,1,,,,1/19/2015
IGC Off study - Candidate Entry and Selection in Sierra Leone,International Growth Centre (IGC),Grant Proposal,,,,3/21/2017,0,1,,,,3/21/2017
SME growth application,Private Enterprise Development for Low-Income Countries (PEDL),Grant Proposal,,,,10/2/2017,0,1,,,,10/2/2017
B-FAB Burkina Family Aspirations and Behaviors,National Bureau of Economic Research (NBER),Grant Proposal,,,,11/28/2017,0,1,,,,10/25/2017
ATAI Fall 2017: Rural Finance and Commitment Mechanisms in Agricultural Input Decisions (Mali),Massachusetts Institute of Technology (MIT),Grant Proposal,,,,12/19/2017,0,1,,,,12/19/2017
Improving Management Practices in Tanzanian Public  Schools,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/15/2017,0,1,,,,2/21/2017
Strengthening Teacher Accountability to Reach all Students (STARS),Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
Consumption Smoothing and Domestic Violence:  Experimental Evidence from Rwandan Coffee Mills,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,,,,10/4/2022,0,1,,,,10/5/2022
IGC Proposal for Interfirm Relationships and Business Performance,International Growth Centre (IGC),Grant Proposal,,,,5/1/2014,0,1,,,,5/1/2014
SVRI:Cash Transfers and Role Models (Kenya),Sexual Violence Research Initiative,Grant Proposal,,,,10/6/2017,0,1,,,,10/6/2017
WBK7689 Midline Survey for the Empowerment and Livelihood for Adolescents (ELA) project,World Bank,Grant Award,,,,12/1/2015,1,1,,,,12/21/2015
NSF Proposal for Impacts and Sustainability of Irrigation in Rwanda,"University of California, Berkeley",Grant Proposal,,,,1/15/2019,0,1,,,,1/18/2019
Cycling to School: IGC Special Call for Proposals,International Growth Centre (IGC),Grant Proposal,,,,7/13/2018,0,1,,,,7/15/2018
GI Try 2 for Distributive politics of bureaucracy,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/15/2017,0,1,,,,9/15/2017
Cognitive constraints in consumption smoothing,National Science Foundation (NSF),Grant Proposal,,,,1/15/2019,0,1,,,,1/15/2019
EDI Round 2: NGO Service Delivery and State Legitimacy (Uganda),Center for Effective Global Action (CEGA),Grant Proposal,,,,11/15/2017,0,1,,,,11/15/2017
GPI DepEd Institutionalizing Evidence Use,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,6/30/2016,0,1,,,,6/30/2016
Mobile Cooperation in Malawi,The College of William and Mary,Grant Proposal,,,,6/30/2020,0,1,,,,6/30/2020
EDI Effectiveness of Social Pension in Bangladesh,Center for Effective Global Action (CEGA),Grant Proposal,,,,2/21/2017,0,1,,,,2/21/2017
ESRC-DFID Outline Proposal for Youth and Student Employment (SPES.YeYe),Economic and Social Research Council (ESRC),Grant Proposal,,,,1/22/2015,0,1,,,,5/29/2015
LBS0005 - Managerial Capital and Access to Information (Uganda),London Business School,Grant Award,,,,6/23/2017,1,1,,,,6/23/2017
Methodological Survey Experiment on Time Use Experiment in Malawi,World Bank,Grant Proposal,,,,11/1/2021,0,1,,,,11/4/2021
Minerva: Gangs of Medellín: Mapping armed orders and violence at the micro level,United States Department of Defense,Grant Proposal,,,,3/21/2017,0,1,,,,3/21/2017
WBK2457 Impact Evaluation of MSME Investment and Gender in Ghana - Pilot Disbursement of Grants,World Bank,Grant Award,,,,3/24/2017,1,1,,,,3/17/2017
"EDI Round 2: Growing together. Trust, institutions (Zambia)",Center for Effective Global Action (CEGA),Grant Proposal,,,,11/16/2017,0,1,,,,11/15/2017
Cash Transfers and Behavioural Interventions,National Institutes of Health (NIH),Grant Proposal,,,,6/16/2017,0,1,,,,6/16/2017
Hilton - Participatory Eval - AGYW,Conrad N. Hilton Foundation,Grant Proposal,,,,5/24/2024,0,1,,,,5/24/2024
Learning partner for Rockefeller Health Strategy,Rockefeller Foundation,Grant Proposal,,,,1/9/2019,0,1,,,,1/9/2019
GLAM PQQ (IPA would eventually receive a subgrant),Search for Common Ground,Grant Proposal,,,,12/19/2016,0,1,,,,12/19/2016
UCB0020-X1 Subaward to Yo! Uganda for Mo Kash Digital Credit Study,"University of California, Berkeley",Subaward,,,,12/9/2019,1,1,,,,12/9/2019
Data Entry Proposal for Citizens at the Council,"Ministry of Territorial Administration, Decentralization and Security (MATDS",Grant Proposal,,,,5/16/2017,0,1,,,,5/16/2017
Evidence-based Education Solutions in Rwanda and Zambia,SAS-P Philanthropy,Grant Proposal,,,,5/31/2019,0,1,,,,5/31/2019
AidData Proposal for Land Reform,AidData,Grant Proposal,,,,1/30/2015,0,1,,,,4/14/2015
USIP: Medellin gangs: new challenges for peacebuilding in an urban world,United States Institute of Peace,Grant Proposal,,,,3/21/2017,0,1,,,,3/21/2017
"IGC Central Call (State Effectiveness): Making Foreign Investment in Mining and Agriculture Work for the Local Poor""",International Growth Centre (IGC),Grant Proposal,,,,5/31/2014,0,1,,,,5/30/2014
DIV-Empowering Women to Save for Maternal and Reproductive Care,United States Agency for International Development (USAID),Grant Proposal,,,,12/10/2018,0,1,,,,11/22/2018
WBK4718 Empowerment and Livelihood for Adolescents (ELA) Sierra Leone,World Bank,Grant Award,,,,3/13/2015,1,1,,,,4/2/2015
Templeton Proposal for Hungry seasons in Zambia,John Templeton Foundation,Grant Proposal,,,,8/31/2018,0,1,,,,8/31/2018
NYU6922 NYUAD Research Fund Release Request,NYU Abu Dhabi,Grant Award,,,,5/17/2016,1,1,,,,7/5/2016
Faith and HPV vaccination: Leveraging faith communities and parent-child dyads to strengthen cervical cancer prevention,New York University,Grant Proposal,,,,10/25/2023,0,1,,,,10/27/2023
IGC for Creating a Toilet Habit,International Growth Centre (IGC),Grant Proposal,,,,1/15/2016,0,1,,,,1/15/2016
Community Policing in the Philippines,Policy Design and Evaluation Lab,Grant Proposal,,,,4/11/2017,0,1,,,,4/11/2017
Community Policing Project Uganda,Massachusetts Institute of Technology (MIT),Grant Proposal,,,,9/15/2017,0,1,,,,9/15/2017
